index,year,NOx,NMVOC,SO2,NH3,PM2.5,PM10,TSP,BC,CO
Fugitive,2002,2.84240701634549,75.12184739839198,9.111852873571971,0.0017580858,1.1082022723873333,5.247726220733334,13.894320408367692,0.046528417166293336,3.9737460129970854
Fugitive,2003,2.5376449521771365,67.17085404063239,8.596657452358539,0.0019043091,1.0761680926503332,5.147980811183333,14.03810839227846,0.04160272361516334,4.235117581136778
Fugitive,2004,2.197004879066804,60.620075648081745,7.9816202773801015,0.0020629407,1.0876100911464444,5.218359770536111,14.870911565292309,0.037496141844757774,4.780353516818978
Fugitive,2005,2.2450918993235565,57.21973423644782,8.086657263876884,0.0020429900999999998,1.057975741785,5.082538126,14.799918391056922,0.03403246877515,5.023158172702901
Fugitive,2006,2.1490775249726912,55.12939396317521,8.020299280310752,0.002036421,1.0371598058899998,5.0029130069,13.150239177269231,0.0315930438736,3.697937589502371
Fugitive,2007,2.21023427312044,52.80539999734925,7.525493072893665,0.0020536952999999996,1.036595412737889,5.0727962568222225,15.16830815567077,0.026191967397565553,5.428843371065129
Fugitive,2008,2.1790567428771066,51.64037212030578,7.330535396300893,0.0020062518,1.007192229376,4.9112934192,14.597926767199999,0.02409125870324,5.234121436900009
Fugitive,2009,2.0417262824315525,50.24058777513792,6.757038129258148,0.0016473842999999999,0.9528797492259999,4.722584800899999,15.219585104119998,0.02171950796174,6.10142531526672
Fugitive,2010,1.9508605471456857,47.77480836505701,6.584871711389313,0.0019828949999999997,0.9657077542999998,4.7328474714,14.792024687840001,0.023134072051,5.641598451219308
Fugitive,2011,2.030526842498804,46.011567610209106,6.622539048881494,0.001943967,1.02021712114,4.9474802662,15.88044154728,0.0247250127506,6.263802353364886
Fugitive,2012,1.933385179930753,44.33692710500757,6.609688222070047,0.001958565,1.0381907553,5.148645082,15.075422652,0.022669532396999998,5.126989872309051
Fugitive,2013,1.9129241830157353,44.46201717282969,6.352780724344665,0.0020128208999999997,1.019121231138,5.062928984,15.836382394000001,0.02268002160762,6.026331070381865
